Seq.,Date,Code,Time,Latitude,Longitude,Vis.,SeaState,Species,Total seen,Adults,Juvenille,Calfs,Behaviour,Asso,Num boats,Comments,Empresa
18107,17/03/2015,IA,10:59:00,38.6903,-28.5197,3,1,Bp,3,3,,,3,1,1,,C
18109,17/03/2015,IA,11:49:00,38.6597,-28.5172,3,1,Pm,1,1,,,2,1,1,,C
18111,17/03/2015,RA,11:55:00,38.6552,-28.5228,3,1,Pm,1,1,,,3,1,1,,C
18112,17/03/2015,RA,12:04:00,38.6474,-28.5367,3,1,Pm,2,2,,,3,1,1,,C
18113,17/03/2015,IA,12:09:00,38.6452,-28.5383,3,1,Pm,7,7,,,2,1,1,All females,C
18115,17/03/2015,IA,12:44:00,38.6561,-28.5213,3,1,Pm,2,2,,,2,1,1,2 females,C
18073,22/03/2015,RA,10:25:00,38.335,-28.4471,3,1,Bp,1,1,,,3,1,1,Fim do avistemento a mesmo tempo do que Bm,C
18075,22/03/2015,RA,11:03:00,38.3193,-28.3912,3,1,Bp,1,1,,,3,1,1,,C
18076,22/03/2015,IA,11:07:00,38.3144,-28.3899,3,1,Bp,3,3,,,3,1,,,C
18080,22/03/2015,RA,11:48:00,38.3334,-28.3975,3,1,Bp,1,1,,,3,1,,,C
18039,24/03/2015,IA,11:40:00,37.9478,-25.9219,4,1,Pm,4,3,1,,1,1,1,The lookout says that they have been up for a while ie not diving. They continued to do the same while we were around ie on the surface then down for awile and then up again.,A
18046,24/03/2015,RA,09:36:00,38.4559,-28.6164,3,1,Bp,1,1,,,3,1,,Fim de avistamento a mesmo tempo que Dd,C
18058,24/03/2015,IA,16:03:00,38.4234,-28.6737,3,1,Bp,1,1,,,3,1,,,C
18059,24/03/2015,RA,16:14:00,38.424,-28.6834,3,1,Bp,1,1,,,3,1,,,C
18064,24/03/2015,RA,16:42:00,38.4104,-28.6636,3,1,Bp,1,1,,,3,1,,,C
18026,25/03/2015,IA,10:34:00,37.6057,-25.7344,4,2,Pm,1,1,,,,1,1,been seeing him since 10:30 but GPS point is from 10:34. logging big male,A
18028,25/03/2015,IA,11:28:00,37.6069,-25.7709,4,2,Pm,1,1,,,,1,1,we started to see him at 11:25 but GPS position is from 11:28. He is logging. A gull came to check him out briefly.,A
18013,26/03/2015,RA,09:36:00,37.6956,-25.6191,1,2,Bp,2,,,,2,,2,"se calhar eram mais de 2, mesma área mais não nadavam juntas, apareciam e desapareciam em diferentes locais cada 10-15 min",D
18000,28/03/2015,IA,09:34:00,38.609,-28.5324,2,2,Bp,5,5,,,3,1,1,,C
18002,28/03/2015,IA,09:53:00,38.6231,-28.5373,2,2,Bp,5,5,,,3,1,2,Same whales as before,C
17952,29/03/2015,IA,10:32:00,38.3463,-28.4145,3,2,Pm,2,2,,,2,1,1,Females,C
17954,29/03/2015,IA,10:50:00,38.3532,-28.4068,3,2,Pm,3,3,,,2,1,1,Female,C
17957,29/03/2015,RA,11:02:00,38.361,-28.4129,3,2,Pm,3,2,1,,2,1,1,Juntos com Dd,C
17966,29/03/2015,IA,15:15:00,38.6775,-28.6407,3,2,Bp,4,4,,,3,1,2,,C
17968,29/03/2015,IA,15:50:00,38.7192,-28.5441,3,2,Pm,3,2,1,,2,1,2,Adults female,C
17970,29/03/2015,IA,16:15:00,38.729,-28.5331,3,2,Pm,2,1,,1,2,1,2,Adult female,C
17972,29/03/2015,IA,16:32:00,38.732,-28.5207,3,2,Bp,2,2,,,3,1,2,,C
17973,29/03/2015,RA,16:34:00,38.7316,-28.5192,3,2,Pm,2,2,,,3,1,2,,C
17939,30/03/2015,IA,09:34:00,37.6191,-25.4741,3,3,Bp,2,x,,,2,1,1,,E
17916,01/04/2015,IA,14:53:00,37.8703,-25.9813,4,3,Pm,1,x,,,2,1,1,There is one more up some 500m S. Pm is logging,A
17926,01/04/2015,RA,11:51:00,37.8714,-25.9929,4,2,Pm,1,x,,,3,1,1,one or two animals. We have seen them since 11:47 but did not get a start point so this is actually the FA point.,A
17927,01/04/2015,RA,11:33:00,37.8731,-25.9918,4,2,Pm,1,x,,,,6,1,turtle Cc and Pm ,A
17934,01/04/2015,IA,15:00:00,37.8692,-25.985,1,2,Pm,1,,,,4,,2,,D
17936,01/04/2015,RA,15:12:00,37.8676,-25.994,1,2,Pm,1,,,,4,,1,só vimos menos de 1 minuto e fluke,D
17883,02/04/2015,IA,11:56:00,38.0034,-25.8189,3,2,Pm,1,,1,,2,,1,fluked. There are more spermwhales around.,A
17896,02/04/2015,IA,10:40:00,37.6618,-25.241,1,2,Bp,1,,,,2,,2,,D
17903,02/04/2015,RA,10:43:00,37.6618,-25.2344,3,2,Bp,3,x,,,3,1,2,,E
17904,02/04/2015,RA,11:22:00,37.6839,-25.3885,3,2,Bp,3,x,,,3,1,1,,E
17907,02/04/2015,IA,15:22:00,38.7018,-28.655,2,2,Pm,3,3,,,3,1,2,All females,C
17909,02/04/2015,RA,15:46:00,38.7027,-28.6639,2,2,Pm,2,1,,1,2,1,1,"Adult female
Fluke",C
17910,02/04/2015,RA,16:13:00,38.7153,-28.658,2,2,Pm,1,,1,,3,1,,Breach,C
17912,02/04/2015,RA,17:34:00,38.7309,-28.6548,2,2,Pm,1,1,,,2,1,,"Female
Fluke",C
17844,03/04/2015,IA,14:28:00,37.5787,-25.3007,1,1,Pm,3,,,,3,,6,,D
17853,03/04/2015,RA,10:56:00,37.6561,-25.6561,3,2,Pm,3,x,,x,3,1,1,,E
17858,03/04/2015,IA,14:03:00,37.5726,-25.3203,3,2,Pm,4,x,,x,3,5,1,,E
17859,03/04/2015,RA,14:03:00,37.5726,-25.3203,3,2,Bp,1,x,,,3,5,1,,E
17863,03/04/2015,IA,10:11:00,38.7403,-28.6449,2,4,Bp,4,4,,,3,1,2,,C
17820,05/04/2015,IA,10:27:00,37.6075,-25.5228,1,3,Pm,1,,,,4,,4,,D
17822,05/04/2015,RA,10:54:00,37.6153,-25.5297,1,3,Pm,1,,,,3,,5,,D
17823,05/04/2015,RA,11:01:00,37.6056,-25.5221,1,3,Pm,2,,,,3,,2,fluke x 1,D
17824,05/04/2015,RA,11:07:00,37.6021,-25.5106,1,3,Pm,2,x,,x,3,,2,,D
17766,09/04/2015,RA,10:50:00,38.3841,-28.3161,2,3,Pm,2,1,1,,3,1,3,,C
17767,09/04/2015,IA,10:53:00,38.387,-28.3017,2,3,Pm,4,3,,1,2,1,,Adult females,C
17773,09/04/2015,IA,11:46:00,38.3202,-28.273,2,3,Bp,4,4,,,3,1,2,,C
17785,09/04/2015,IA,15:36:00,38.3908,-28.4852,3,2,Bp,4,4,,,3,1,2,,C
17739,10/04/2015,RA,14:02:00,37.6063,-25.3595,3,3,Bp,2,x,,,4,1,1,,E
17744,10/04/2015,IA,10:00:00,37.6391,-25.2872,4,2,Bp,4,x,,,1,2,1,,E
